Date : 2026-05-30 15:48:15
Directory : e:\projetos\pie
Total : 88 files,  10852 codes, 1397 comments, 3072 blanks, all 15321 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Python   |         61 |      8,153 |      1,382 |      2,214 |     11,749 |
| Markdown |         18 |      2,212 |          0 |        821 |      3,033 |
| JSON     |          3 |        232 |          0 |          3 |        235 |
| MS SQL   |          5 |        223 |         15 |         23 |        261 |
| YAML     |          1 |         32 |          0 |         11 |         43 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                     |         88 |     10,852 |      1,397 |      3,072 |     15,321 |
| . (Files)                                                                             |          2 |        454 |          0 |        166 |        620 |
| .github                                                                               |          1 |         32 |          0 |         11 |         43 |
| .github\workflows                                                                     |          1 |         32 |          0 |         11 |         43 |
| docs                                                                                  |         15 |      1,727 |          0 |        648 |      2,375 |
| examples                                                                              |          1 |         33 |          0 |          1 |         34 |
| migrations                                                                            |          5 |        223 |         15 |         23 |        261 |
| personal_intelligence_engine                                                          |         33 |      3,737 |        847 |        785 |      5,369 |
| personal_intelligence_engine (Files)                                                  |          1 |          1 |          1 |          2 |          4 |
| personal_intelligence_engine\app                                                      |         32 |      3,736 |        846 |        783 |      5,365 |
| personal_intelligence_engine\app (Files)                                              |          3 |        738 |        112 |         97 |        947 |
| personal_intelligence_engine\app\adapters                                             |          4 |        440 |         80 |         94 |        614 |
| personal_intelligence_engine\app\cli                                                  |          2 |        721 |        105 |        123 |        949 |
| personal_intelligence_engine\app\domain                                               |          3 |        264 |         44 |         92 |        400 |
| personal_intelligence_engine\app\evaluation                                           |          4 |        306 |         29 |         96 |        431 |
| personal_intelligence_engine\app\prompts                                              |          1 |         31 |          0 |          7 |         38 |
| personal_intelligence_engine\app\repositories                                         |          6 |        496 |        318 |         90 |        904 |
| personal_intelligence_engine\app\services                                             |          9 |        740 |        158 |        184 |      1,082 |
| tests                                                                                 |         31 |      4,646 |        535 |      1,438 |      6,619 |
| tests (Files)                                                                         |         29 |      4,447 |        535 |      1,436 |      6,418 |
| tests\fixtures                                                                        |          2 |        199 |          0 |          2 |        201 |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                              | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| e:\projetos\pie\.github\workflows\ci.yml                                              | YAML     |         32 |          0 |         11 |         43 |
| e:\projetos\pie\README.md                                                             | Markdown |        227 |          0 |         83 |        310 |
| e:\projetos\pie\README.pt-BR.md                                                       | Markdown |        227 |          0 |         83 |        310 |
| e:\projetos\pie\docs\architecture.md                                                  | Markdown |         93 |          0 |         18 |        111 |
| e:\projetos\pie\docs\assistant_architecture.md                                        | Markdown |        100 |          0 |         43 |        143 |
| e:\projetos\pie\docs\core_v1_gap_analysis.md                                          | Markdown |        100 |          0 |         36 |        136 |
| e:\projetos\pie\docs\current_state.md                                                 | Markdown |        108 |          0 |         29 |        137 |
| e:\projetos\pie\docs\data_model.md                                                    | Markdown |        112 |          0 |         28 |        140 |
| e:\projetos\pie\docs\git_publication_checklist.md                                     | Markdown |         44 |          0 |         17 |         61 |
| e:\projetos\pie\docs\human_review_design.md                                           | Markdown |        182 |          0 |         84 |        266 |
| e:\projetos\pie\docs\phase_2c_issues.md                                               | Markdown |        198 |          0 |         97 |        295 |
| e:\projetos\pie\docs\privacy.md                                                       | Markdown |         72 |          0 |         33 |        105 |
| e:\projetos\pie\docs\review_edit_design.md                                            | Markdown |        173 |          0 |         70 |        243 |
| e:\projetos\pie\docs\roadmap.md                                                       | Markdown |         86 |          0 |         33 |        119 |
| e:\projetos\pie\docs\simulated_usage_report.md                                        | Markdown |        202 |          0 |         51 |        253 |
| e:\projetos\pie\docs\troubleshooting.md                                               | Markdown |         60 |          0 |         28 |         88 |
| e:\projetos\pie\docs\usage_playbook.md                                                | Markdown |        152 |          0 |         60 |        212 |
| e:\projetos\pie\docs\vision.md                                                        | Markdown |         45 |          0 |         21 |         66 |
| e:\projetos\pie\examples\sample_entries.json                                          | JSON     |         33 |          0 |          1 |         34 |
| e:\projetos\pie\migrations\001_initial_schema.sql                                     | MS SQL   |         85 |          3 |          7 |         95 |
| e:\projetos\pie\migrations\002_add_review_audit_actions.sql                           | MS SQL   |         60 |          4 |          6 |         70 |
| e:\projetos\pie\migrations\003_create_structured_entry_revisions.sql                  | MS SQL   |         13 |          2 |          2 |         17 |
| e:\projetos\pie\migrations\004_add_soft_delete.sql                                    | MS SQL   |          2 |          2 |          2 |          6 |
| e:\projetos\pie\migrations\005_add_delete_audit_actions.sql                           | MS SQL   |         63 |          4 |          6 |         73 |
| e:\projetos\pie\personal_intelligence_engine\__init__.py                              | Python   |          1 |          1 |          2 |          4 |
| e:\projetos\pie\personal_intelligence_engine\app\__init__.py                          | Python   |          0 |          1 |          1 |          2 |
| e:\projetos\pie\personal_intelligence_engine\app\adapters\__init__.py                 | Python   |          0 |          1 |          1 |          2 |
| e:\projetos\pie\personal_intelligence_engine\app\adapters\fake_extractor.py           | Python   |         61 |         39 |         12 |        112 |
| e:\projetos\pie\personal_intelligence_engine\app\adapters\local_llm_extractor.py      | Python   |        304 |         17 |         58 |        379 |
| e:\projetos\pie\personal_intelligence_engine\app\adapters\markdown_writer.py          | Python   |         75 |         23 |         23 |        121 |
